Time,Pitch (x),Yaw (y),Roll (z)
6.24,2.8916097,10.147672,3.331084
6.28,2.9005692,10.164776,3.3595915
6.33,2.8997543,10.178631,3.3636663
6.38,2.90872,10.179446,3.3840427
6.42,2.91524,10.186781,3.405233
6.47,2.9217594,10.190041,3.4223459
6.51,2.9307258,10.220201,3.4337578
6.55,2.9437635,10.214497,3.4467955
6.61,2.9543653,10.230807,3.477785
6.66,2.9755409,10.236508,3.4704552
6.71,2.973095,10.244661,3.4826849
6.75,2.9828703,10.25851,3.5160837
6.78,2.9747183,10.262586,3.5356486
6.84,2.9934752,10.276449,3.551959
6.89,2.9796329,10.300877,3.5747583
6.94,3.0008395,10.295982,3.586993
6.97,3.014684,10.288653,3.5878074
7.03,3.041703,10.29766,3.6066387
7.08,3.0579247,10.303337,3.6155608
7.13,3.092974,10.3229,3.6196363
7.17,3.109271,10.3261595,3.643267
7.21,3.1207366,10.330255,3.6506376
7.27,3.1231704,10.348913,3.6774082
7.31,3.132133,10.347283,3.6945186
7.36,3.149248,10.358693,3.7140784
7.39,3.1541376,10.388846,3.725488
7.44,3.1533225,10.408409,3.7287483
7.5,3.168805,10.413299,3.769492
7.55,3.178585,10.409224,3.788237
7.59,3.1916757,10.408405,3.8127818
7.63,3.1908638,10.402722,3.8265824
7.67,3.2129145,10.424773,3.8494496
7.74,3.23894,10.431279,3.8681555
7.78,3.2544978,10.450112,3.8525977
7.81,3.2690988,10.443623,3.883422
7.86,3.2780647,10.461555,3.9143949
7.91,3.2870276,10.469703,3.9249873
7.97,3.2927601,10.467246,3.9258063
8.01,3.3049293,10.476981,3.964748
8.05,3.331005,10.481055,3.9818602
8.09,3.339154,10.498168,3.9883792
8.14,3.3578956,10.497354,3.9916387
8.21,3.3815386,10.5136595,3.9989762
8.24,3.3864267,10.535656,4.0160847
8.28,3.4100928,10.53076,4.015269
8.33,3.4231176,10.534016,4.0445747
8.38,3.4345381,10.549515,4.069047
8.44,3.4353528,10.556031,4.0885973
8.47,3.4467568,10.5527725,4.087783
8.51,3.472854,10.545433,4.1130643
8.56,3.4826267,10.55032,4.126095
8.63,3.5103383,10.576401,4.135875
8.66,3.5331566,10.586995,4.1472845
8.71,3.5511081,10.590259,4.1489162
8.75,3.5633178,10.595957,4.1481023
8.8,3.5869515,10.621221,4.153807
8.83,3.5885816,10.62285,4.183147
8.89,3.6130345,10.629372,4.1847773
8.94,3.6489072,10.657907,4.209236
8.99,3.6480927,10.677456,4.232858
9.03,3.6529818,10.68316,4.2573037
9.08,3.6733582,10.682344,4.27279
9.13,3.6945784,10.671734,4.298091
9.17,3.7149248,10.677431,4.3273897
9.22,3.732039,10.69536,4.337984
9.25,3.7589338,10.690471,4.367324
9.31,3.7556732,10.684765,4.386888
9.36,3.7776864,10.687211,4.3909645
9.41,3.7923675,10.695367,4.3974895
9.45,3.8119068,10.696181,4.417843
9.49,3.8176095,10.694552,4.4333215
9.55,3.838797,10.701886,4.447175
9.59,3.846129,10.719809,4.456136
