Time,Pitch (x),Yaw (y),Roll (z)
0,0,0,0
0.3486328,0.20771459,-0.751438,0.012218505
0.3955078,0.23051135,-0.8084299,0.022802714
0.44140625,0.23213822,-0.86699724,0.019548975
0.48828125,0.2533644,-0.91108245,0.03097847
0.53515625,0.26476893,-0.9444814,0.018759359
0.58203125,0.27469835,-0.9875089,0.020414263
0.6279297,0.27630273,-1.0107722,-0.002046848
0.6738281,0.288525,-1.0344019,-0.006120935
0.7216797,0.2958563,-1.0368457,0.015872994
0.7675781,0.29748583,-1.0523262,0.03298306
0.81347656,0.32637322,-1.065165,0.021749076
0.86035156,0.32719985,-1.0841775,0.030842006
0.9082031,0.32312033,-1.1021273,0.02186708
0.95410156,0.32638016,-1.1225013,0.02512691
1,0.33289227,-1.1192452,0.01861481
1.0478516,0.35164315,-1.1078316,0.010462261
1.0927734,0.36208722,-1.1038146,0.02492328
1.1396484,0.40007195,-1.0972086,0.02162026
1.1865234,0.4163641,-1.1216469,0.022434868
1.2333984,0.41065437,-1.1371447,0.037932694
1.2802734,0.41228142,-1.1306365,0.028983947
1.3251953,0.41549176,-1.1210054,0.040220138
1.3720703,0.42705503,-1.112746,0.0517834
1.4199219,0.43440053,-1.1054006,0.056680392
1.4658203,0.45374364,-1.0876694,0.059904244
1.5126953,0.46446207,-1.0926163,0.065675706
1.5595703,0.47016102,-1.0795902,0.06486157
1.6064453,0.50274813,-1.0608526,0.076267056
1.6523438,0.50600755,-1.0380368,0.0754522
1.6982422,0.51578265,-1.021745,0.07789597
1.7460938,0.524747,-1.0160404,0.07137645
1.7919922,0.53615373,-0.9915975,0.072191216
1.8378906,0.54658985,-0.9803586,0.072993994
1.8847656,0.55402386,-0.9597086,0.054821998
1.9316406,0.5515774,-0.9523692,0.057268444
1.9775391,0.5772663,-0.9419331,0.048437893
2.0234375,0.59434694,-0.92403907,0.04111761
2.071289,0.6188219,-0.9126174,0.02153763
2.118164,0.6345106,-0.9192231,0.030620549
2.1640625,0.64839697,-0.9159557,0.037972175
2.2109375,0.67528075,-0.9183997,0.036342856
2.2578125,0.66387284,-0.9143254,0.058343872
2.303711,0.6833932,-0.9175788,0.06729069
2.350586,0.67931575,-0.8980072,0.08033841
2.3964844,0.69073445,-0.8784323,0.075444676
2.444336,0.6915492,-0.8645819,0.052632235
2.4902344,0.715979,-0.85643864,0.06403282
2.5371094,0.7273945,-0.84013075,0.046094134
2.5830078,0.7201708,-0.832907,0.036462486
2.6298828,0.7491163,-0.8072696,0.03232741
2.6767578,0.76132673,-0.7779645,0.02744323
2.7226563,0.7759862,-0.7567897,0.020113494
2.7705078,0.8069885,-0.7421044,-0.012520507
2.8164063,0.8102167,-0.7211207,-0.03269713
2.8623047,0.82502174,-0.6898657,-0.035164632
2.9101563,0.83477247,-0.66873914,-0.03272695
2.9560547,0.849477,-0.6581192,-0.048248384
3.0029297,0.8592517,-0.6483445,-0.06291038
3.0488281,0.8731092,-0.64426875,-0.053128578
3.0966797,0.8976425,-0.6450865,-0.062124103
3.1425781,0.8968308,-0.6434632,-0.06699411
3.1884766,0.91309357,-0.630453,-0.068620384
3.2353516,0.9293878,-0.6060116,-0.05395556
3.2832031,0.92687774,-0.5934612,-0.05479225
3.328125,0.9402884,-0.5729507,-0.05321452
3.3740234,0.937848,-0.556681,-0.04101221
3.421875,0.9370344,-0.5574945,-0.042639323
3.4677734,0.94192374,-0.5444563,-0.048343536
3.5146484,0.95014805,-0.52965254,-0.045876246
3.5605469,0.9509624,-0.52232313,-0.035289306
3.6083984,0.95177776,-0.5141699,-0.07360958
3.6542969,0.94689137,-0.5060259,-0.08175356
3.7011719,0.95667064,-0.5003213,-0.0866432
3.7470703,0.9640054,-0.5035812,-0.08745817
3.7939453,0.9762285,-0.5027664,-0.06545668
3.8398438,0.97382325,-0.48432624,-0.07267238
3.8867188,0.97216797,-0.47687745,-0.07763825
3.9345703,0.9803011,-0.44841152,-0.05730544
3.9804688,1.0056229,-0.43615907,-0.06955789
4.026367,1.0153915,-0.42394835,-0.0679298
