Time,Pitch (x),Yaw (y),Roll (z)
0.0, 0.0, 0.0, 0.0
0.34960938, 1.2551082, 5.0755343, -2.9204223
0.39648438, 1.377176, 5.326994, -3.217454
0.4423828, 1.378797, 5.224061, -3.2166436
0.4892578, 1.373075, 5.135777, -3.2068343
0.5361328, 1.3812228, 5.0852604, -3.207649
0.58203125, 1.3763641, 5.0382924, -3.2100785
0.6279297, 1.3796235, 5.011402, -3.213338
0.6767578, 1.3763143, 4.9659, -3.200101
0.72265625, 1.3836459, 4.956939, -3.1854377
0.7685547, 1.3999062, 4.933362, -3.1960068
0.8144531, 1.3958851, 4.9204946, -3.196811
0.8623047, 1.409121, 4.9138765, -3.2092197
0.9082031, 1.4018213, 4.881433, -3.1962423
0.95410156, 1.4219987, 4.8588343, -3.2010849
1.0009766, 1.4277706, 4.839045, -3.2085059
1.0478516, 1.40837, 4.832578, -3.1939554
1.0947266, 1.4108058, 4.8082204, -3.1842122
1.140625, 1.4124545, 4.7810173, -3.1998746
1.1884766, 1.4287173, 4.7745123, -3.1868644
1.234375, 1.4401239, 4.7574024, -3.2039745
1.28125, 1.4433832, 4.7533283, -3.2088635
1.3261719, 1.4482154, 4.738832, -3.1903405
1.3740234, 1.4498665, 4.7338786, -3.1895149
1.4208984, 1.446605, 4.72654, -3.1813612
1.4667969, 1.4400914, 4.7118845, -3.1935742
1.5136719, 1.4555743, 4.7143292, -3.1723871
1.5605469, 1.4669822, 4.7069955, -3.152016
1.6064453, 1.4889181, 4.6850595, -3.1568906
1.6533203, 1.4807384, 4.6719723, -3.1519828
1.7001953, 1.5018654, 4.676848, -3.1641715
1.7470703, 1.5108266, 4.6776624, -3.1763914
1.7929688, 1.5157238, 4.667868, -3.1812885
1.8388672, 1.5310178, 4.657404, -3.1716292
1.8867188, 1.5244308, 4.648347, -3.1724524
1.9326172, 1.5309472, 4.645903, -3.1594195
1.9794922, 1.5423921, 4.636093, -3.178222
2.0253906, 1.5521597, 4.6076045, -3.196129
2.0722656, 1.5714474, 4.611623, -3.1921108
2.1191406, 1.5772285, 4.624011, -3.1995437
2.165039, 1.5796735, 4.6126013, -3.1987288
2.2128906, 1.588634, 4.629708, -3.1954703
2.258789, 1.5967803, 4.6215615, -3.1775486
2.305664, 1.6032999, 4.604448, -3.172659
2.3515625, 1.6113805, 4.602832, -3.1815476
2.3984375, 1.6220384, 4.5888944, -3.1774485
2.4453125, 1.6277426, 4.5872645, -3.1839678
2.491211, 1.6228415, 4.610137, -3.177433
2.5390625, 1.6244699, 4.6044374, -3.1847608
2.5839844, 1.6325176, 4.6100707, -3.1686654
2.6308594, 1.6300427, 4.603471, -3.1579409
2.6777344, 1.6284095, 4.614086, -3.1652899
2.7246094, 1.6186496, 4.606766, -3.15553
2.7714844, 1.6398299, 4.620615, -3.1677494
2.8164063, 1.6406349, 4.6222253, -3.147623
2.8632813, 1.6521852, 4.617275, -3.1665986
2.9111328, 1.6652128, 4.6408877, -3.153571
2.9570313, 1.6725341, 4.6571574, -3.1429956
3.0039063, 1.6749834, 4.6710367, -3.1446285
3.0507813, 1.6855729, 4.671851, -3.1413703
3.0966797, 1.7002298, 4.682437, -3.1356704
3.1435547, 1.720616, 4.6816216, -3.1650264
3.1894531, 1.7295811, 4.6897717, -3.1625814
3.2373047, 1.7531986, 4.7036166, -3.1446648
3.2832031, 1.7670529, 4.7044315, -3.1324403
3.3291016, 1.7783195, 4.7148933, -3.126807
3.375, 1.7775055, 4.7002416, -3.0983171
3.4228516, 1.7931622, 4.70601, -3.1007893
3.4697266, 1.7874582, 4.70275, -3.085307
3.515625, 1.8029879, 4.7109237, -3.092663
3.5615234, 1.8127497, 4.741836, -3.0951035
3.609375, 1.8176405, 4.7304244, -3.0869522
3.6552734, 1.824159, 4.727165, -3.0812485
3.7021484, 1.8420788, 4.7320523, -3.0861359
3.7490234, 1.8559328, 4.7385716, -3.0942852
3.7949219, 1.8820008, 4.754864, -3.0934706
3.8408203, 1.8884478, 4.765341, -3.084606
3.8876953, 1.8983386, 4.7579226, -3.0879028
3.9355469, 1.921985, 4.7538457, -3.0805643
3.9814453, 1.9366467, 4.7652493, -3.0781207
4.0273438, 1.9309464, 4.7725782, -3.0830066
4.073242, 1.9373857, 4.7637243, -3.0894458
4.1210938, 1.9537828, 4.7514267, -3.0796075
4.1679688, 1.9447669, 4.7604427, -3.0845253
4.213867, 1.9708416, 4.758813, -3.0780067
4.260742, 1.9458932, 4.7644463, -3.0860546
4.307617, 1.9673359, 4.777642, -3.0868793
4.3535156, 1.9869, 4.779272, -3.0836186
4.4003906, 1.9999323, 4.777643, -3.095022
4.4472656, 2.0154119, 4.784161, -3.098281
4.4941406, 2.0113328, 4.7906876, -3.09257
4.540039, 2.0137796, 4.7955813, -3.0966482
4.5878906, 2.0055234, 4.7864995, -3.0916946
4.633789, 2.0239773, 4.790511, -3.083671
4.6796875, 2.0134065, 4.807587, -3.072287
4.725586, 2.0288868, 4.798625, -3.0861378
4.7734375, 2.0354047, 4.8100314, -3.0739167
4.819336, 2.047605, 4.809218, -3.061716
4.866211, 2.0688741, 4.8206706, -3.0518997
4.9121094, 2.06317, 4.8231153, -3.0470104
4.9589844, 2.0583303, 4.8271484, -3.0599163
5.0058594, 2.0624363, 4.847679, -3.0755196
5.051758, 2.075471, 4.850123, -3.079593
5.0996094, 2.0680714, 4.846012, -3.0828817
5.145508, 2.08749, 4.8565307, -3.0974457
5.192383, 2.0915637, 4.850013, -3.0844097
5.2382813, 2.106228, 4.866307, -3.0787067
5.2851563, 2.1111176, 4.874456, -3.0844111
5.3310547, 2.1070974, 4.868828, -3.0667224
5.3779297, 2.1112247, 4.8845115, -3.0592933
5.423828, 2.1160796, 4.8731833, -3.0447283
5.4716797, 2.1300626, 4.8781185, -3.0480185
5.517578, 2.1341205, 4.8967853, -3.0658736
5.564453, 2.1300395, 4.918007, -3.0601602
5.611328, 2.1398184, 4.925341, -3.052011
5.6572266, 2.148663, 4.9430304, -3.0697002
5.7041016, 2.1502964, 4.960181, -3.0656166
5.75, 2.1519284, 4.9699736, -3.0484805
5.7978516, 2.1395957, 4.9749064, -3.041081
5.84375, 2.145221, 4.986157, -3.0442953
5.890625, 2.149352, 4.9993763, -3.035207
5.9375, 2.169719, 4.992044, -3.0311337
5.984375, 2.159102, 5.0067444, -3.0295002
6.0302734, 2.1534114, 5.035197, -3.031939
6.076172, 2.1614513, 5.053689, -3.0303311
6.1240234, 2.1796088, 5.041309, -3.0253792
6.169922, 2.1763415, 5.0658126, -3.0302799
6.2158203, 2.1803992, 5.10639, -3.0294683
6.2617188, 2.193266, 5.1224737, -3.0383143
6.3095703, 2.1883671, 5.146151, -3.023618
6.3564453, 2.1826005, 5.145327, -3.0285606
6.4023438, 2.1817844, 5.15104, -3.01387
6.448242, 2.1768913, 5.155933, -3.0212095
6.4960938, 2.1825912, 5.162447, -3.0244665
6.541992, 2.189923, 5.1705937, -3.0220225
6.5878906, 2.1987789, 5.1891103, -3.0365138
6.635742, 2.1954803, 5.1932335, -3.0208454
6.6816406, 2.1938508, 5.2103434, -3.0159569
6.7285156, 2.202797, 5.195704, -3.0094504
6.774414, 2.2133913, 5.189999, -3.01597
6.8222656, 2.210123, 5.2055235, -3.015153
6.868164, 2.2150073, 5.1843586, -3.0021284
6.9140625, 2.2101274, 5.175412, -2.9956217
6.961914, 2.2280583, 5.190083, -3.0062172
7.0078125, 2.2239783, 5.186819, -3.0037692
7.0546875, 2.2362037, 5.2031198, -3.0176246
7.100586, 2.2378128, 5.200706, -2.9975097
7.1484375, 2.2295635, 5.176783, -3.0140083
7.194336, 2.2426383, 5.1874065, -3.0205457
7.2402344, 2.2556355, 5.1841574, -3.0197334
7.2871094, 2.2597096, 5.205343, -2.9969184
7.3339844, 2.2806237, 5.203734, -3.004158
7.379883, 2.2987442, 5.2152653, -2.9885085
7.426758, 2.3052628, 5.211191, -2.9966567
7.473633, 2.3182979, 5.238076, -3.0048037
7.520508, 2.350955, 5.2560377, -3.02848
7.5664063, 2.3542159, 5.269896, -3.0390775
7.6123047, 2.3485909, 5.2803426, -3.028631
7.6601563, 2.347767, 5.29105, -3.0195708
7.7060547, 2.3346958, 5.293501, -2.999964
7.7529297, 2.348546, 5.307351, -2.994261
7.798828, 2.360755, 5.318746, -2.9657736
7.845703, 2.3559256, 5.3235755, -2.952895
7.892578, 2.371583, 5.3342886, -2.9388857
7.9384766, 2.3675084, 5.3359184, -2.9299216
7.986328, 2.3740435, 5.3481717, -2.9209359
8.032227, 2.3748581, 5.3587613, -2.9095316
8.078125, 2.3812883, 5.3692102, -2.8862221
8.125, 2.3862412, 5.396451, -2.884571
8.171875, 2.3829823, 5.3931923, -2.8886447
8.21875, 2.385429, 5.407872, -2.9041402
8.264648, 2.3894913, 5.4265594, -2.91714
8.3125, 2.3829613, 5.4428844, -2.9146912
8.358398, 2.3862, 5.4453135, -2.8936393
8.404297, 2.3722773, 5.457598, -2.9042861
8.451172, 2.38125, 5.482069, -2.8936822
8.498047, 2.3885837, 5.503256, -2.90835
8.544922, 2.3796206, 5.5285153, -2.9018314
8.589844, 2.3852515, 5.530124, -2.8986137
8.637695, 2.410061, 5.5243354, -2.9085374
8.68457, 2.41493, 5.529205, -2.909349
8.730469, 2.4141152, 5.544687, -2.9012005
8.777344, 2.4108503, 5.5593786, -2.8930383
8.824219, 2.4214406, 5.5618224, -2.9150336
8.870117, 2.423886, 5.576495, -2.9182942
8.916992, 2.4271405, 5.604158, -2.908531
8.962891, 2.4426157, 5.61719, -2.9126034
9.010742, 2.4393501, 5.636784, -2.900357
9.056641, 2.4442444, 5.6473885, -2.9117773
9.102539, 2.4547305, 5.6683607, -2.9182303
9.149414, 2.4497964, 5.6856303, -2.940434
9.196289, 2.462011, 5.690516, -2.9542773
9.243164, 2.4840631, 5.7240024, -2.9493768
9.2890625, 2.4799988, 5.721564, -2.959131
9.3359375, 2.4872367, 5.733627, -2.9575226
9.3828125, 2.5078356, 5.717972, -2.9748256
9.428711, 2.518428, 5.7358975, -2.9870477
9.475586, 2.5151632, 5.735081, -2.9837828
9.522461, 2.524126, 5.7538214, -2.9976344
9.568359, 2.5396106, 5.767676, -3.0147488
9.615234, 2.5461364, 5.8003044, -3.0041447
9.661133, 2.5679753, 5.8116283, -3.0162773
9.708984, 2.5646963, 5.8337617, -3.0466082
9.754883, 2.569585, 5.851687, -3.0457935
9.800781, 2.5826225, 5.855761, -3.048238
9.848633, 2.5971627, 5.871917, -3.0619702
9.894531, 2.5955172, 5.869448, -3.0356407
9.941406, 2.6003945, 5.8816414, -3.0201962
9.987305, 2.6101725, 5.8938637, -3.0348632
10.03418, 2.6166894, 5.919931, -3.0511553
10.081055, 2.619925, 5.931255, -3.0600529
10.126953, 2.6256783, 5.922214, -3.0641625
10.174805, 2.633827, 5.9515495, -3.054384
10.220703, 2.6436067, 5.9817038, -3.055199
10.267578, 2.6362753, 5.9963665, -3.0519404
10.313477, 2.6460547, 6.006961, -3.0462358
10.360352, 2.6411664, 6.0102196, -3.0486798
10.407227, 2.643604, 6.0199704, -3.0681813
10.453125, 2.6607203, 6.0321965, -3.0632908
10.499023, 2.676212, 6.0550265, -3.0600295
10.545898, 2.6826303, 6.0662584, -3.0471933
10.592773, 2.6908946, 6.0778284, -3.044714
10.639648, 2.702348, 6.0639205, -3.0324423
10.68457, 2.711159, 6.0647216, -3.0268354
10.732422, 2.7209232, 6.094014, -3.0154438
10.77832, 2.7160044, 6.1079507, -3.0056064
10.825195, 2.7217214, 6.1120343, -2.994989
10.87207, 2.7469776, 6.1071463, -2.9901006
10.918945, 2.7412739, 6.1209984, -3.0039525
10.96582, 2.7544293, 6.131687, -2.9899747
11.011719, 2.7772338, 6.1325016, -3.0160372
